Collibra Resource ID,Name,Description,Domain Level,L0 Domain Name,L1 Domain Name,L2 Domain Name,L3 Domain Name,Parent Domain ID,Domain Business Scope,Dictionary Reference Number,Collibra Location ID,Extract Timestamp
8616d4d3-3269-43f2-aa75-b89895b44fbe,1773_Test,A  black,,1773_Test,,,,,,,2786e1e0-9dbf-4067-b110-14ce860a266a,Fri Feb 19 05:30:16 HKT 2021
0a4a1003-6b71-45ed-8385-25b2a1c8060f,Access Control List Data,"Information needed to enable selective restriction of access to places, systems, or other resources. Includes information pertaining to user groups and roles.",,Contract Data,Condition Data,Access Control List Data,,30ccbcf7-c249-40a0-a67c-c1f662f55fb6,Group - Chief Data Office (G-CDO),DD00110011,d246e957-5858-42bc-b493-6d853267d1ac,Fri Feb 19 05:30:16 HKT 2021
f61579a7-1363-4687-a9a2-b38c9234ab14,Cost Centre Data,An organisation unit that represents an accounting unit within an HSBC Entity.,,Account Data,Cost Centre Data,,,733f8c39-2854-462b-8720-7e0bb71489de,Global Finance (GBLFIN),DD00110049,d246e957-5858-42bc-b493-6d853267d1ac,Fri Feb 19 05:30:16 HKT 2021
2a2b4e59-b7b6-4345-86aa-c7b21849deec,Credit Mitigant Data,An account that mitigates credit risk exposure.,,Account Data,Credit Mitigant Data,,,733f8c39-2854-462b-8720-7e0bb71489de,Global Risk (GBLGRR),DD00110054,d246e957-5858-42bc-b493-6d853267d1ac,Fri Feb 19 05:30:16 HKT 2021
1069024e-8af6-42e8-bf45-e19ca5321a1e,Accounting Entry Data,A numerical representation of the net increases and decreases in an account at a specific point in time.,,Event Data,Financial Data,Accounting Entry Data,,f378403e-3919-45ad-ac32-0b0e11361e7b,Global Finance (GBLFIN),DD00110014,d246e957-5858-42bc-b493-6d853267d1ac,Fri Feb 19 05:30:16 HKT 2021
b9e7f9c6-64cd-42fa-9584-9902f685a4a0,Activity and Audit Log Data,"A security-relevant chronological record, set of records, and/or destination and source of records that provide documentary evidence of the sequence of activities that have affected at any time a specific operation, procedure, or event.",,Event Data,Operational Data,Activity and Audit Log Data,,39f9d0e9-b68b-4556-86be-dbdb3fda878a,Group - Chief Data Office (G-CDO),DD00110015,d246e957-5858-42bc-b493-6d853267d1ac,Fri Feb 19 05:30:16 HKT 2021
aff7ad80-d2b1-4b91-97e3-5fd4b19fb158,Address Data,A location for sending and receiving tangible items or information.,,Location Data,Address Data,,,92ce0e90-1d06-4256-9b2d-f19ed63a56b4,Retail Banking Wealth Management (RBWM),DD00110016,d246e957-5858-42bc-b493-6d853267d1ac,Fri Feb 19 05:30:16 HKT 2021
8ce2be1e-9bcd-40ab-ae10-ac22ec560894,Alert Data,An event that indicates there is a potential problem that should be investigated.,,Event Data,Operational Data,Alert Data,,39f9d0e9-b68b-4556-86be-dbdb3fda878a,Financial Crime Risk (FCR),DD00110017,d246e957-5858-42bc-b493-6d853267d1ac,Fri Feb 19 05:30:16 HKT 2021
6bdc469a-3516-47c7-8257-5ae2d36c946a,Arrangement Data,"A written mutual agreement, enforceable by law, between two or more parties that something shall be done by one or both parties.",,Contract Data,Arrangement Data,,,ad080bad-9465-4ff1-8c69-47bcc8b1bfcc,Global Banking and Markets (GBM),DD00110018,d246e957-5858-42bc-b493-6d853267d1ac,Fri Feb 19 05:30:16 HKT 2021
fe9d4f1b-c27e-45a2-bce1-d9242388cdec,Assessment Data,A business activity which identifies a task or tasks which provide information for the evaluation of a given set of criteria.,,Event Data,Financial Data,Assessment Data,,f378403e-3919-45ad-ac32-0b0e11361e7b,Global Risk (GBLGRR),DD00110019,d246e957-5858-42bc-b493-6d853267d1ac,Fri Feb 19 05:30:16 HKT 2021
a78f9cd5-7eda-4d17-9e49-fccf34357d0e,ATM Data,A branch or outlet that allows customers to complete basic transactions without the aid of Bank teller.,,Channel Data,ATM Data,,,f172b4c8-0079-4dd6-be20-0c5a7db6a78d,Retail Banking Wealth Management (RBWM),DD00110020,d246e957-5858-42bc-b493-6d853267d1ac,Fri Feb 19 05:30:16 HKT 2021
2772a082-3cdc-43c5-892e-cbf0cd5a3315,Bank Notes and Bullion Data,Financial inventory information including amount and location of corporate notes and bullion.,,Economic Resource Data,Bank Notes and Bullion Data,,,6052c601-f0af-4b16-ae8f-e50a53e1d15e,Group - Chief Data Office (G-CDO),DD00110021,d246e957-5858-42bc-b493-6d853267d1ac,Fri Feb 19 05:30:16 HKT 2021
47f7fabd-6c6a-4c4c-a079-1a28b1b5e256,Benchmark Data,"Standard, or a set of standards, used as a point of reference for evaluating performance of HSBC Products and services.",,Business Direction Data,Benchmark Data,,,0302ead7-d246-440f-9471-44cf160f07e0,HSBC Global Asset Management (AMG),DD00110022,d246e957-5858-42bc-b493-6d853267d1ac,Fri Feb 19 05:30:16 HKT 2021
63ef53be-08e3-43cb-b521-c12e28b06037,Benefit Data,"An advantage like medical insurance, sick leave, life insurance given to workers or employees or customers.",,Party Data,Individual Data,Worker Data,Benefit Data,4ddb45a5-1307-4e46-acc9-dfff7dba9d8c,Global Human Resources (GBLGHR),DD00110023,d246e957-5858-42bc-b493-6d853267d1ac,Fri Feb 19 05:30:16 HKT 2021
8aa0a4e9-5188-4655-95d3-60fc33274fb6,Biometric Profile Data,"Information that identifies an individual based on physical or behavioural traits, examples of which are fingerprints, eye/retina patterns, voice patterns, facial structure/patterns, body movement, and gait.",,Party Data,Individual Data,Biometric Profile Data,,ac0aa54f-c6ee-48cf-976f-1f1d24da38f3,Retail Banking Wealth Management (RBWM),DD00110024,d246e957-5858-42bc-b493-6d853267d1ac,Fri Feb 19 05:30:16 HKT 2021
c8034aba-d819-4c85-bd84-ae41f12d9639,Branch Data,"A legally dependent part of a business organisation or company which acts as a place of business, responsible for the delivery of the products and services of said organisation. It is typically focussed on a particular geographic or jurisdictional locality.",,Channel Data,Branch Data,,,f172b4c8-0079-4dd6-be20-0c5a7db6a78d,Retail Banking Wealth Management (RBWM),DD00110025,d246e957-5858-42bc-b493-6d853267d1ac,Fri Feb 19 05:30:16 HKT 2021
8f64ae60-e809-41cc-ba0e-6310aba6701d,Brand Data,"Unique design, sign, symbol, words, or a combination of these, employed in creating an image that identifies a product and differentiates it from its competitors.",,Economic Resource Data,Intellectual Property Data,Brand Data,,2ce22e41-3321-4f29-bcaa-a08170414221,Group - Chief Data Office (G-CDO),DD00110026,d246e957-5858-42bc-b493-6d853267d1ac,Fri Feb 19 05:30:16 HKT 2021
1a87ebc1-2779-4dbb-9b7d-5647609ca2c4,Budget Data,"A budget is a financial plan for a defined period, often one year. It includes planned volume of products and services, costs and expenses, assets, liabilities and cash flows.",,Business Direction Data,Business Plan Data,Budget Data,,0ba8c28a-1384-47d0-8c15-c8c14c13a78a,Global Finance (GBLFIN),DD00110027,d246e957-5858-42bc-b493-6d853267d1ac,Fri Feb 19 05:30:16 HKT 2021
0302ead7-d246-440f-9471-44cf160f07e0,Business Direction Data,An expression of HSBC's intent with regard to the manner and environments in which it wishes to carry out its business.,,Business Direction Data,,,,,Group - Chief Data Office (G-CDO),DD00110028,d246e957-5858-42bc-b493-6d853267d1ac,Fri Feb 19 05:30:16 HKT 2021
b4d94957-da19-4c70-a870-e7e48c8a3616,Business Model Data,"Information describing the organisational and management structure of HSBC, examples of which are business and functional hierarchies, legal entities and geographic scope, product and services provided in each geographical area.",,Business Direction Data,Business Model Data,,,0302ead7-d246-440f-9471-44cf160f07e0,Group - Chief Data Office (G-CDO),DD00110029,d246e957-5858-42bc-b493-6d853267d1ac,Fri Feb 19 05:30:16 HKT 2021
0ba8c28a-1384-47d0-8c15-c8c14c13a78a,Business Plan Data,Information describing the strategy and goal of HSBC.,,Business Direction Data,Business Plan Data,,,0302ead7-d246-440f-9471-44cf160f07e0,Group - Chief Data Office (G-CDO),DD00110030,d246e957-5858-42bc-b493-6d853267d1ac,Fri Feb 19 05:30:16 HKT 2021
0c6527a5-47ac-44b7-959c-1e580d6bfeb3,Business Policy Data,HSBC guidelines to govern its actions. They define the limits within which decisions must be made. HSBC policy also deals with acquisition of resources with which organisational goals can be achieved.,,Business Direction Data,Business Policy Data,,,0302ead7-d246-440f-9471-44cf160f07e0,Group - Chief Data Office (G-CDO),DD00110031,d246e957-5858-42bc-b493-6d853267d1ac,Fri Feb 19 05:30:16 HKT 2021
70ddf711-6d69-41d2-abd3-5433270cc04c,Business Strategy Data,"A business strategy is a set of competitive moves and actions that HSBC uses to better serve customers, compete successfully, strengthening performance, and achieve organisational goals. It outlines how business should be carried out to reach the desired ends.",,Business Direction Data,Business Strategy Data,,,0302ead7-d246-440f-9471-44cf160f07e0,Group - Chief Data Office (G-CDO),DD00110032,d246e957-5858-42bc-b493-6d853267d1ac,Fri Feb 19 05:30:16 HKT 2021
0de371e7-fbe3-4759-872e-ee65156d1b9d,Business Trip Data,"A business event that is a journey made by a worker to a place for work purposes, typically one involving some distance.",,Event Data,Contact Data,Business Trip Data,,1ed155f0-fbb3-4623-875b-6671677170ec,"HSBC Operations, Services and Technologies (HOST)",DD00110033,d246e957-5858-42bc-b493-6d853267d1ac,Fri Feb 19 05:30:16 HKT 2021
4ac3678f-1b33-4e9a-8dc4-81b7ed86ea2d,Case Data,"The record of communications, investigations and outcomes pertaining to a specific event impacting the relationship between HSBC and contractors.",,Event Data,Contact Data,Case Data,,1ed155f0-fbb3-4623-875b-6671677170ec,Financial Crime Risk (FCR),DD00110034,d246e957-5858-42bc-b493-6d853267d1ac,Fri Feb 19 05:30:16 HKT 2021
f172b4c8-0079-4dd6-be20-0c5a7db6a78d,Channel Data,A delivery and communication mechanism through which products and services are made available to a customer and by which HSBC and customers communicate with each other.,,Channel Data,,,,,Group - Chief Data Office (G-CDO),DD00110035,d246e957-5858-42bc-b493-6d853267d1ac,Fri Feb 19 05:30:16 HKT 2021
c55d3890-c7bc-403e-96e4-12c7a6053397,Claim Data,A request for payment under the terms and conditions of a contract.,,Event Data,Contact Data,Claim Data,,1ed155f0-fbb3-4623-875b-6671677170ec,Group Insurance (GINS),DD00110036,d246e957-5858-42bc-b493-6d853267d1ac,Fri Feb 19 05:30:16 HKT 2021
daaad024-f2d8-476f-86c0-ba76e7111e04,Communication Data,Information in relation to an event at which there is an exchange of information with individuals or organisations of interest to HSBC.,,Event Data,Contact Data,Communication Data,,1ed155f0-fbb3-4623-875b-6671677170ec,Retail Banking Wealth Management (RBWM),DD00110037,d246e957-5858-42bc-b493-6d853267d1ac,Fri Feb 19 05:30:16 HKT 2021
b5733323-e094-4705-9fae-5d0113e2cd56,Compensation and Payroll Data,"Payroll typically involves payments of regular salary and wages, commissions and bonuses. Compensation is broader than pay as it includes all of the benefits and perks that companies provide to employees on top of income",,Party Data,Individual Data,Worker Data,Compensation and Payroll Data,4ddb45a5-1307-4e46-acc9-dfff7dba9d8c,Global Human Resources (GBLGHR),DD00110038,d246e957-5858-42bc-b493-6d853267d1ac,Fri Feb 19 05:30:16 HKT 2021
47908e55-2f5c-4594-8f9d-f7106bdbcd61,Compliance Risk Rating Data,A measurement scale of accreditation created based on assessment of compliance risks as mandated by Global or regional compliance risk policy.,,Event Data,Operational Data,Risk Rating Data,Compliance Risk Rating Data,3c3f393c-5d5f-49a4-a0a4-cb1d43d65d9f,Financial Crime Risk (FCR),DD00110039,d246e957-5858-42bc-b493-6d853267d1ac,Fri Feb 19 05:30:16 HKT 2021
5b4ea8d4-085b-41bc-a0db-65ac0409ab5f,Compliance Violation Data,"An event where an action that does not conform with the 1) compliance policy, 2) operating procedure, or 3) compliance and regulatory laws with in the scope of a either global or regional compliance policy occurs.",,Event Data,Operational Data,Compliance Violation Data,,39f9d0e9-b68b-4556-86be-dbdb3fda878a,Financial Crime Risk (FCR),DD00110040,d246e957-5858-42bc-b493-6d853267d1ac,Fri Feb 19 05:30:16 HKT 2021
30ccbcf7-c249-40a0-a67c-c1f662f55fb6,Condition Data,"Each party in a contract is obligated, or required, to perform a duty under the contract. The contract conditions determine the parties' obligations. A condition is an act or event that affects a party's contractual duty. It is a qualification that is placed on an obligation.",,Contract Data,Condition Data,,,ad080bad-9465-4ff1-8c69-47bcc8b1bfcc,Global Banking and Markets (GBM),DD00110041,d246e957-5858-42bc-b493-6d853267d1ac,Fri Feb 19 05:30:16 HKT 2021
7bcb5f72-7e5e-4d23-8749-d2fb9f189590,Connected Party Data,"A role assumed by a given individual or organisation, with respect to another individual or organisation, that grants it the power to direct or influence the activities of the customer through its management or ownership structure; or who is a beneficial owner of the customer.",,Party Data,Related Party Data,Connected Party Data,,913696f2-838a-408d-a558-213d9dd9f289,Retail Banking Wealth Management (RBWM),DD00110042,d246e957-5858-42bc-b493-6d853267d1ac,Fri Feb 19 05:30:16 HKT 2021
1ed155f0-fbb3-4623-875b-6671677170ec,Contact Data,"A communication with someone, typically in order to give or receive information.",,Event Data,Contact Data,,,0a4f2d28-81a1-4995-97c5-132d4abb591f,Group - Chief Data Office (G-CDO),DD00110043,d246e957-5858-42bc-b493-6d853267d1ac,Fri Feb 19 05:30:16 HKT 2021
645c1d24-8867-48b2-9c46-74a878c499cf,Contract Cash Flow Schedule Data,A cash flow condition that specifies timing and frequency of payments for contracts.,,Contract Data,Condition Data,Contract Cash Flow Schedule Data,,30ccbcf7-c249-40a0-a67c-c1f662f55fb6,Global Banking and Markets (GBM),DD00110044,d246e957-5858-42bc-b493-6d853267d1ac,Fri Feb 19 05:30:16 HKT 2021
ad080bad-9465-4ff1-8c69-47bcc8b1bfcc,Contract Data,"A potential or actual agreement between two or more parties, that provides and affirms the rules and obligations associated with the exchange for value of goods, services and/or resources.",,Contract Data,,,,,Global Banking and Markets (GBM),DD00110045,d246e957-5858-42bc-b493-6d853267d1ac,Fri Feb 19 05:30:16 HKT 2021
b9ed0fb7-2f9d-47cf-b689-610a2be44b68,Contract Limit Data,A condition that is applied to a financial value associated with a contract.,,Contract Data,Condition Data,Contract Limit Data,,30ccbcf7-c249-40a0-a67c-c1f662f55fb6,Global Banking and Markets (GBM),DD00110046,d246e957-5858-42bc-b493-6d853267d1ac,Fri Feb 19 05:30:16 HKT 2021
2db70904-08e8-4fe5-a08b-d37857498f5c,Contract Repricing Schedule Data,"A repricing schedule changes in initial contract based on various conditions of agreement. Conditions like contract period end, changes in economical conditions, changes in infrastructure and securitisation.",,Contract Data,Condition Data,Contract Repricing Schedule Data,,30ccbcf7-c249-40a0-a67c-c1f662f55fb6,Global Banking and Markets (GBM),DD00110047,d246e957-5858-42bc-b493-6d853267d1ac,Fri Feb 19 05:30:16 HKT 2021
f8fed548-b2bb-4430-8dec-4f22c9936f5e,Control Data,"Information pertaining to a mechanism or condition that is put in place to govern and manage the conduct of HSBC business. This includes the identifying, recording and assessing performance of HSBC products and services, employee access   and guide on roles and responsibilities.",,Business Direction Data,Control Data,,,0302ead7-d246-440f-9471-44cf160f07e0,Global Risk (GBLGRR),DD00110048,d246e957-5858-42bc-b493-6d853267d1ac,Fri Feb 19 05:30:16 HKT 2021
ec6352a2-ed07-4823-b84b-6059975a1443,Account Financial Data,The financial data that is associated to an account. E.g. transactions made into/out of an account. The position (current balance) of the account.,,Account Data,Customer Account Data,Account Financial Data,,f93106a0-f272-4ab0-ac5e-0c2b1df9b1f7,Global Finance (GBLFIN),DD00110013,d246e957-5858-42bc-b493-6d853267d1ac,Fri Feb 19 05:30:16 HKT 2021
e324c61b-d67e-407b-9407-6a7a0e5ad053,Counterparty Data,A trade party role that is a party with whom HSBC makes a trade or transaction.,,Party Data,Counterparty Data,,,35b8a14d-f7a5-40df-be65-70c8de9ad956,Global Banking and Markets (GBM),DD00110050,d246e957-5858-42bc-b493-6d853267d1ac,Fri Feb 19 05:30:16 HKT 2021
22504d26-165e-4bd7-bfd5-267757de4f2d,Credit Facility Data,"A financial instrument that is either an agreement to directly extend credit to a customer by means of one or more credit instruments, or to control the credit risk exposure arising from trading and investment activities.",,Contract Data,Financial Instrument Data,Credit Facility Data,,97981e62-4977-4871-b083-b335d22b5b86,Global Risk (GBLGRR),DD00110051,d246e957-5858-42bc-b493-6d853267d1ac,Fri Feb 19 05:30:16 HKT 2021
ee44425a-b116-4dcb-9c10-29dc7530580f,Credit Hierarchy Data,A Credit Risk Hierarchy is a system of organising a set of credit risk exposures so that the relationships and dependencies between different entities are more intuitive and transparent.,,Party Data,Organisation Data,Organisational Structure Data,Credit Hierarchy Data,e8bf18b7-af28-4466-91b6-a8eb751851de,Global Finance (GBLFIN),DD00110052,d246e957-5858-42bc-b493-6d853267d1ac,Fri Feb 19 05:30:16 HKT 2021
78168271-f9eb-44cc-ad8e-9f13f3dc40db,Credit Instrument Data,"A financial instrument in which an HSBC entity puts its assets at risk, for a fee, for the benefit of its customer's use",,Contract Data,Financial Instrument Data,Credit Instrument Data,,97981e62-4977-4871-b083-b335d22b5b86,Global Finance (GBLFIN),DD00110053,d246e957-5858-42bc-b493-6d853267d1ac,Fri Feb 19 05:30:16 HKT 2021
f93106a0-f272-4ab0-ac5e-0c2b1df9b1f7,Customer Account Data,An account that is ruled by a product or service agreement between an HSBC legal entity and one or more customer parties.,,Account Data,Customer Account Data,,,733f8c39-2854-462b-8720-7e0bb71489de,Retail Banking Wealth Management (RBWM),DD00110055,d246e957-5858-42bc-b493-6d853267d1ac,Fri Feb 19 05:30:16 HKT 2021
eefbb296-e081-47a6-affd-7a47590e8055,Exposure Data,The measure of potential future loss resulting from a specific activity or event.,,Account Data,Exposure Data,,,733f8c39-2854-462b-8720-7e0bb71489de,Global Finance (GBLFIN),DD00110068,d246e957-5858-42bc-b493-6d853267d1ac,Fri Feb 19 05:30:16 HKT 2021
e985fbe1-1eab-4dfe-81ca-2913a4553b9f,Customer Data,An individual or organisation that is a named party in at least one contract with an HSBC legal entity for a product or service provided by HSBC.,,Party Data,Customer Data,,,35b8a14d-f7a5-40df-be65-70c8de9ad956,Retail Banking Wealth Management (RBWM),DD00110056,d246e957-5858-42bc-b493-6d853267d1ac,Fri Feb 19 05:30:16 HKT 2021
5ce5a8ba-06d7-47a7-bc59-d3fb21bfe5af,Customer Profile Data,"Information pertaining to the delivery and service channels, financial information, biography (such as employment and financial history), anticipated transactional behaviour, social interactions, non-demographic segmentation and lifecycle of an individual or organisation.",,Party Data,Customer Data,Customer Profile Data,,e985fbe1-1eab-4dfe-81ca-2913a4553b9f,Retail Banking Wealth Management (RBWM),DD00110057,d246e957-5858-42bc-b493-6d853267d1ac,Fri Feb 19 05:30:16 HKT 2021
2ce3fade-7429-408e-a62c-3b46e30a2603,Customer Service Data,The assistance and advice provided by a company to those people who buy or use its products or services.,,Channel Data,Customer Service Data,,,f172b4c8-0079-4dd6-be20-0c5a7db6a78d,Group - Chief Data Office (G-CDO),DD00110058,d246e957-5858-42bc-b493-6d853267d1ac,Fri Feb 19 05:30:16 HKT 2021
